,state,status,latlon,lat,lon
1516,GA,1,"(-26.7157202, 27.8542801)",-26.7157202,27.8542801
1515,GA,12,"(31.9365917, -81.9284501)",31.9365917,-81.9284501
1514,GA,1,"(34.3078817, -83.6335036)",34.3078817,-83.6335036
1513,GA,1,"(32.649885, -82.098175)",32.649885,-82.098175
1512,GA,1,"(33.6250269, -97.1405994)",33.6250269,-97.1405994
1511,GA,119,"(34.2978794, -83.8240663)",34.2978794,-83.8240663
1510,GA,6,"(32.5537585, -83.8874084)",32.5537585,-83.8874084
1509,GA,5,"(34.2848284, -83.1443161)",34.2848284,-83.1443161
1508,GA,24,"(32.5537585, -83.8874084)",32.5537585,-83.8874084
1507,GA,1,"(34.9489645, -85.2569)",34.9489645,-85.2569
1506,GA,3,"(31.6090569, -85.0471505)",31.6090569,-85.0471505
1505,GA,9,"(33.6220542, -84.3690918)",33.6220542,-84.3690918
1504,GA,35,"(34.192225, -83.916341)",34.192225,-83.916341
1503,GA,1,"(31.7149082, -83.2526545)",31.7149082,-83.2526545
1518,GA,3,"(33.8942729, -83.95574)",33.8942729,-83.95574
1502,GA,268,"(33.4487257, -84.4549262)",33.4487257,-84.4549262
1519,GA,3,"(33.5756831, -83.1823789)",33.5756831,-83.1823789
1521,GA,24,"(33.4504157, -82.1981764)",33.4504157,-82.1981764
1536,GA,3,"(33.3254635, -83.6868559)",33.3254635,-83.6868559
1535,GA,1,"(34.9178674, -83.8574012)",34.9178674,-83.8574012
1534,GA,4,"(34.1282559, -83.5753386)",34.1282559,-83.5753386
1533,GA,2,"(32.8112594, -83.1726541)",32.8112594,-83.1726541
1532,GA,3,"(34.0148352, -83.2937659)",34.0148352,-83.2937659
1531,GA,8,"(34.096496, -83.7612839)",34.096496,-83.7612839
1530,GA,1,"(31.0365983, -82.7470849)",31.0365983,-82.7470849
1529,GA,13,"(33.1731769, -84.914936)",33.1731769,-84.914936
1528,GA,4,"(33.8756601, -84.7621592)",33.8756601,-84.7621592
1527,GA,1,"(31.8477298, -81.5960354)",31.8477298,-81.5960354
1526,GA,2,"(34.3528825, -82.932087)",34.3528825,-82.932087
1525,GA,2,"(33.660109, -84.4102046)",33.660109,-84.4102046
1524,GA,1,"(30.9426874, -84.6488056)",30.9426874,-84.6488056
1523,GA,9,"(33.3870578, -84.2829784)",33.3870578,-84.2829784
1522,GA,2,"(32.3363045, -81.3914992)",32.3363045,-81.3914992
1520,GA,9,"(-26.1347251, 28.0484301)",-26.1347251,28.0484301
1538,GA,1,"(31.6074365, -81.8853924)",31.6074365,-81.8853924
1499,GA,10,"(32.1613648, -81.8980725)",32.1613648,-81.8980725
1479,GA,2,"(32.825161, -83.555813)",32.825161,-83.555813
1478,GA,267,"(33.7737582, -84.296069)",33.7737582,-84.296069
1477,GA,9,"(34.4212053, -84.1190804)",34.4212053,-84.1190804
1476,GA,1,"(26.075729, -80.2841089753086)",26.075729,-80.2841089753
1475,GA,6,"(31.3702255, -81.4339903)",31.3702255,-81.4339903
1474,GA,115,"(34.7691867, -84.9702475)",34.7691867,-84.9702475
1473,GA,5,"(-26.2481587, 28.1843471)",-26.2481587,28.1843471
1471,GA,2,"(33.9887165, -83.8979573)",33.9887165,-83.8979573
1470,GA,12,"(31.7712748, -84.7893658)",31.7712748,-84.7893658
1469,GA,63,"(34.2073196, -84.1401926)",34.2073196,-84.1401926
1468,GA,3300,"(34.2073196, -84.1401926)",34.2073196,-84.1401926
1467,GA,1,"(41.9233919, -96.7921475)",41.9233919,-96.7921475
1466,GA,1,"(33.5539938, -82.8961899)",33.5539938,-82.8961899
1465,GA,1,"(32.7212675, -83.9825337)",32.7212675,-83.9825337
1464,GA,39,"(33.5967815, -83.8601827)",33.5967815,-83.8601827
1480,GA,12,"(33.7737582, -84.296069)",33.7737582,-84.296069
1500,GA,7,"(33.5670562, -84.5810418)",33.5670562,-84.5810418
1481,GA,2,"(33.7575613, -84.2186508)",33.7575613,-84.2186508
1483,GA,52,"(33.8981579, -84.2832564)",33.8981579,-84.2832564
1498,GA,3,"(33.6101096, -84.287978)",33.6101096,-84.287978
1497,GA,12,"(34.1112226, -82.8670839)",34.1112226,-82.8670839
1496,GA,7,"(33.3267997, -83.3884961)",33.3267997,-83.3884961
1495,GA,1,"(32.1976729, -83.1776514)",32.1976729,-83.1776514
1494,GA,8,"(34.520378, -83.2554372)",34.520378,-83.2554372
1493,GA,26,"(33.6795531, -84.4393724)",33.6795531,-84.4393724
1492,GA,1,"(32.5482221, -82.8718084)",32.5482221,-82.8718084
1491,GA,304,"(33.9430886, -84.3097487128839)",33.9430886,-84.3097487129
1490,GA,33,"(34.0028569, -84.1441046)",34.0028569,-84.1441046
1489,GA,4854,"(34.0028569, -84.1441046)",34.0028569,-84.1441046
1488,GA,2,"(46.7729322, -92.1251218)",46.7729322,-92.1251218
1487,GA,1,"(29.456179, -98.663407)",29.456179,-98.663407
1486,GA,10,"(32.5404447, -82.903754)",32.5404447,-82.903754
1485,GA,26,"(33.7514966, -84.7477136)",33.7514966,-84.7477136
1484,GA,2,"(-26.1146385, 28.0260389)",-26.1146385,28.0260389
1482,GA,3,"(34.565193, -83.5453322)",34.565193,-83.5453322
1404,GA,1,"(34.4673222, -83.5737843)",34.4673222,-83.5737843
1660,GA,29,"(30.8365815, -83.9787808)",30.8365815,-83.9787808
1700,GU,6,"(13.4612716, 144.755001392135)",13.4612716,144.755001392
1705,GU,1,"(13.4096478, 144.775992)",13.4096478,144.775992
1704,GU,7,"(13.5352045, 144.897156946731)",13.5352045,144.897156947
1703,GU,3,"(13.5175098, 144.8172819)",13.5175098,144.8172819
1702,GU,30,"(13.50948135, 144.811343904351)",13.50948135,144.811343904
1701,GU,364,"(13.4937451, 144.777381670313)",13.4937451,144.77738167
1699,GU,9,"(13.464732, 144.696351491829)",13.464732,144.696351492
1698,GU,27,"(13.4439915, 144.805052811947)",13.4439915,144.805052812
1696,GU,1,"(13.3605802, 144.77104138215)",13.3605802,144.771041382
1697,GU,9,"(13.4773911, 144.765501291265)",13.4773911,144.765501291
1694,GU,54,"(13.4727446, 144.752018225443)",13.4727446,144.752018225
1692,GU,56,"(13.519054, 144.83783877765)",13.519054,144.837838778
1690,GU,176,"(13.4635155, 144.799120354533)",13.4635155,144.799120355
1689,GU,3,"(13.384761, 144.6580714)",13.384761,144.6580714
1688,GU,2,"(13.4727446, 144.752018225443)",13.4727446,144.752018225
1695,GU,1,"(34.7486602, -99.8358205)",34.7486602,-99.8358205
1734,HI,13,"(21.6436005, -157.926056492958)",21.6436005,-157.926056493
1737,HI,7,"(21.4508308, -158.0095783)",21.4508308,-158.0095783
1735,HI,1,"(20.857528, -156.313477)",20.857528,-156.313477
1733,HI,8,"(20.872684, -156.6762729)",20.872684,-156.6762729
1736,HI,1,"(20.8029568, -156.310683316022)",20.8029568,-156.310683316
1731,HI,1,"(19.6383462, -155.9767918)",19.6383462,-155.9767918
1730,HI,1,"(19.4154432, -155.270447)",19.4154432,-155.270447
1738,HI,1,"(19.062767, -155.586319)",19.062767,-155.586319
1732,HI,3,"(21.379409, -158.022601)",21.379409,-158.022601
1739,HI,1,"(21.400594, -157.970406393964)",21.400594,-157.970406394
1749,HI,9,"(21.3866667, -158.0091667)",21.3866667,-158.0091667
1741,HI,2,"(22.223611, -159.485278)",22.223611,-159.485278
1742,HI,4,"(19.426449, -155.246429)",19.426449,-155.246429
1743,HI,2,"(21.5006241, -158.01667201816)",21.5006241,-158.016672018
1744,HI,4,"(21.4454875, -158.187823897764)",21.4454875,-158.187823898
1745,HI,1,"(20.0112591, -155.8131183)",20.0112591,-155.8131183
1746,HI,4,"(19.8857764, -155.1230327)",19.8857764,-155.1230327
1747,HI,1,"(20.887041, -156.505051)",20.887041,-156.505051
1748,HI,12,"(21.346304, -157.7211)",21.346304,-157.7211
1729,HI,2,"(20.757398, -156.445999)",20.757398,-156.445999
1740,HI,1,"(22.223611, -159.485278)",22.223611,-159.485278
1728,HI,2,"(21.970833, -159.715)",21.970833,-159.715
1726,HI,2,"(21.093469, -157.024155)",21.093469,-157.024155
1708,HI,1,"(19.494428, -155.917282)",19.494428,-155.917282
1706,HI,18,"(21.385987, -157.923890278125)",21.385987,-157.923890278
1707,HI,1,"(5.418485, 100.3383229)",5.418485,100.3383229
1727,HI,3,"(19.517728, -155.921402)",19.517728,-155.921402
1709,HI,7,"(21.315603, -158.008804)",21.315603,-158.008804
1710,HI,3,"(20.9143002, -156.3218013)",20.9143002,-156.3218013
1711,HI,3,"(21.5935975, -158.104469653106)",21.5935975,-158.104469653
1712,HI,45,"(19.707243, -155.081635)",19.707243,-155.081635
1715,HI,1320,"(21.3250785, -157.846644178573)",21.3250785,-157.846644179
1718,HI,6,"(21.394833, -157.729891346619)",21.394833,-157.729891347
1725,HI,26,"(21.3339504, -158.0771853)",21.3339504,-158.0771853
1717,HI,20,"(20.8894101, -156.4727118)",20.8894101,-156.4727118
1723,HI,7,"(21.4055, -157.796071607204)",21.4055,-157.796071607
1722,HI,15,"(20.0193851, -155.6684951)",20.0193851,-155.6684951
1724,HI,2,"(22.074286, -159.320748)",22.074286,-159.320748
1720,HI,11,"(19.641941, -155.996933)",19.641941,-155.996933
1719,HI,12,"(19.641941, -155.996933)",19.641941,-155.996933
1721,HI,3,"(21.926485, -159.529724)",21.926485,-159.529724
1853,IA,1,"(43.3684613, -95.6299944)",43.3684613,-95.6299944
1847,IA,3,"(41.5138978, -92.0762891)",41.5138978,-92.0762891
1848,IA,123,"(41.748868, -91.5972564)",41.748868,-91.5972564
1849,IA,1,"(43.4441245, -93.2210371)",43.4441245,-93.2210371
1850,IA,1,"(41.3091596, -95.3966671)",41.3091596,-95.3966671
1851,IA,2,"(43.3863594, -95.1483125)",43.3863594,-95.1483125
1852,IA,7,"(43.0072424, -96.0583138)",43.0072424,-96.0583138
1854,IA,16,"(41.2963365, -92.6449612)",41.2963365,-92.6449612
1846,IA,2,"(41.6996927, -93.0537592)",41.6996927,-93.0537592
1856,IA,54,"(41.4080534, -92.9163091)",41.4080534,-92.9163091
1857,IA,2,"(41.5964843, -93.5148963)",41.5964843,-93.5148963
1858,IA,1,"(41.599434, -93.2352053)",41.599434,-93.2352053
1859,IA,2,"(41.0095189, -95.228247)",41.0095189,-95.228247
1860,IA,1,"(43.205241, -96.294843)",43.205241,-96.294843
1861,IA,1,"(41.2883257, -93.8093887)",41.2883257,-93.8093887
1862,IA,1,"(51.6143377, 7.19994662824627)",51.6143377,7.19994662825
1855,IA,8,"(41.0200145, -92.4112963)",41.0200145,-92.4112963
1845,IA,1,"(43.0591412, -92.3176768)",43.0591412,-92.3176768
1878,IA,6,"(41.7316675, -92.2979615)",41.7316675,-92.2979615
1843,IA,121,"(41.424473, -91.0432051)",41.424473,-91.0432051
1863,IA,5,"(42.4038823, -96.3586397)",42.4038823,-96.3586397
1828,IA,16,"(42.7941606, -96.1655456)",42.7941606,-96.1655456
1829,IA,1,"(42.7928619, -96.1667087)",42.7928619,-96.1667087
1830,IA,4,"(40.7403444, -93.7464099)",40.7403444,-93.7464099
1831,IA,2,"(42.484154, -91.4554252)",42.484154,-91.4554252
1832,IA,1,"(42.3639805, -3.6256903)",42.3639805,-3.6256903
1833,IA,18,"(42.0341658, -91.5976773)",42.0341658,-91.5976773
1834,IA,18,"(42.0448121, -92.9103964)",42.0448121,-92.9103964
1836,IA,1,"(41.008076, -91.1633978)",41.008076,-91.1633978
1837,IA,1,"(41.7105445, -96.0216784)",41.7105445,-96.0216784
1838,IA,3,"(41.585834, -92.5274092)",41.585834,-92.5274092
1839,IA,7,"(40.7147147, -94.235232)",40.7147147,-94.235232
1840,IA,5,"(41.9222443, -91.4171209)",41.9222443,-91.4171209
1841,IA,3,"(40.9636952, -91.5580726)",40.9636952,-91.5580726
1842,IA,1,"(41.9222443, -91.4171209)",41.9222443,-91.4171209
1835,IA,74,"(43.1535728, -93.2010367)",43.1535728,-93.2010367
1864,IA,4,"(42.8935166, -93.2151921)",42.8935166,-93.2151921
1866,IA,4,"(41.3330461, -92.2048398)",41.3330461,-92.2048398
1889,IA,3,"(41.6720735, -91.3459735)",41.6720735,-91.3459735
1890,IA,41,"(40.8203005, -91.1702525995091)",40.8203005,-91.1702525995
1892,IA,1594,"(41.5645337, -93.7595281)",41.5645337,-93.7595281
1827,IA,1,"(42.4786037, -96.1839121)",42.4786037,-96.1839121
1897,IA,12,"(40.7116287, -91.2322109)",40.7116287,-91.2322109
1898,IA,2,"(41.661228, -92.0095064)",41.661228,-92.0095064
1900,IA,1,"(41.3345799, -94.0143859)",41.3345799,-94.0143859
1901,IA,3,"(41.7371999, -95.7012869)",41.7371999,-95.7012869
1887,IA,1,"(41.4650649, -91.8378537)",41.4650649,-91.8378537
1886,IA,4,"(42.4663069, -93.8252471)",42.4663069,-93.8252471
1884,IA,1,"(41.1477833, -91.661307)",41.1477833,-91.661307
1867,IA,17,"(43.079692, -96.175672)",43.079692,-96.175672
1868,IA,81,"(42.4966815, -96.4058782)",42.4966815,-96.4058782
1869,IA,3,"(43.1413578, -95.1444393)",43.1413578,-95.1444393
1870,IA,4,"(43.4221843, -95.1022169)",43.4221843,-95.1022169
1871,IA,3,"(41.2883257, -93.8093887)",41.2883257,-93.8093887
1872,IA,9,"(42.6410915, -95.2097179)",42.6410915,-95.2097179
1873,IA,8,"(42.1872062, -93.5957713)",42.1872062,-93.5957713
1865,IA,6,"(40.7655528, -95.3722103)",40.7655528,-95.3722103
1874,IA,1,"(41.5033213, -94.3185737)",41.5033213,-94.3185737
1876,IA,1,"(42.2241596, -91.8743444)",42.2241596,-91.8743444
1877,IA,377,"(41.6274552, -93.7380624)",41.6274552,-93.7380624
1879,IA,62,"(41.5645337, -93.7595281)",41.5645337,-93.7595281
1880,IA,2,"(41.3160082, -91.7340327)",41.3160082,-91.7340327
1881,IA,100,"(42.4996483, -92.3385006)",42.4996483,-92.3385006
1882,IA,93,"(41.6118485, -93.8845129)",41.6118485,-93.8845129
1883,IA,10,"(42.7258142, -92.4754626)",42.7258142,-92.4754626
1875,IA,1,"(41.2324965, -95.6130609)",41.2324965,-95.6130609
1826,IA,14,"(40.622777, -93.9341158)",40.622777,-93.9341158
1804,IA,3,"(41.3052657, -94.4613543)",41.3052657,-94.4613543
1824,IA,10,"(40.3973423, -91.385202)",40.3973423,-91.385202
1770,IA,18,"(43.0663613, -92.6724112)",43.0663613,-92.6724112
1771,IA,5,"(40.7390162, -95.036958)",40.7390162,-95.036958
1772,IA,22,"(42.7313392, -93.7322077)",42.7313392,-93.7322077
1773,IA,2,"(42.8547706, -91.3667151)",42.8547706,-91.3667151
1774,IA,18,"(43.1380915, -93.3792003)",43.1380915,-93.3792003
1775,IA,9,"(41.8444735, -90.1887379)",41.8444735,-90.1887379
1776,IA,542,"(41.6096029, -93.7754352)",41.6096029,-93.7754352
1825,IA,6,"(40.731485, -91.9636373)",40.731485,-91.9636373
1778,IA,3,"(40.7569499, -93.3188229)",40.7569499,-93.3188229
1779,IA,12,"(41.2621283, -95.8613912)",41.2621283,-95.8613912
1780,IA,2,"(41.0586002, -94.3613475)",41.0586002,-94.3613475
1781,IA,149,"(41.5236436, -90.5776368)",41.5236436,-90.5776368
1782,IA,11,"(43.3033056, -91.7857092)",43.3033056,-91.7857092
1784,IA,823,"(41.5910641, -93.6037149)",41.5910641,-93.6037149
1769,IA,2,"(42.2038829, -91.5240561)",42.2038829,-91.5240561
1768,IA,3,"(40.7341804, -92.8740876)",40.7341804,-92.8740876
1767,IA,1521,"(41.9758872, -91.6704053)",41.9758872,-91.6704053
1766,IA,96,"(42.5274123, -92.4453179)",42.5274123,-92.4453179
1750,IA,1,"(41.6175278, -94.0183875)",41.6175278,-94.0183875
1751,IA,6,"(43.0699663, -94.233019)",43.0699663,-94.233019
1752,IA,1045,"(42.0267703, -93.6170554)",42.0267703,-93.6170554
1753,IA,1,"(41.445265, -94.7647015)",41.445265,-94.7647015
1754,IA,5,"(41.7318715, -93.6003837)",41.7318715,-93.6003837
1755,IA,1,"(41.4036007, -95.0138776)",41.4036007,-95.0138776
1756,IA,1,"(43.2927386, -94.2180192)",43.2927386,-94.2180192
1757,IA,28,"(41.5255466, -90.5081478)",41.5255466,-90.5081478
1759,IA,4,"(41.7005441, -93.462157)",41.7005441,-93.462157
1760,IA,6,"(42.0171798, -93.9254114)",42.0171798,-93.9254114
1761,IA,2,"(41.7336092, -92.445463)",41.7336092,-92.445463
1762,IA,4,"(40.8075391, -91.1129234)",40.8075391,-91.1129234
1763,IA,5,"(43.1835847, -91.8640483)",43.1835847,-91.8640483
1764,IA,1,"(42.9463676, -95.550007)",42.9463676,-95.550007
1765,IA,1,"(42.0193628, -94.860335)",42.0193628,-94.860335
1758,IA,3,"(42.4798547, -93.6429769)",42.4798547,-93.6429769
1777,IA,56,"(41.6764044, -91.5804475)",41.6764044,-91.5804475
1788,IA,2,"(41.5997498, -90.9107038)",41.5997498,-90.9107038
1808,IA,1,"(40.604446, -95.657771)",40.604446,-95.657771
1809,IA,2,"(42.7420086, -93.2022735)",42.7420086,-93.2022735
1810,IA,1,"(41.6532994, -95.3250603)",41.6532994,-95.3250603
1811,IA,2,"(43.1800215, -95.4769635)",43.1800215,-95.4769635
1812,IA,11,"(42.0482764, -91.6865902)",42.0482764,-91.6865902
1813,IA,5,"(42.4891531, -95.545003)",42.4891531,-95.545003
1814,IA,1,"(43.188586, -96.133641)",43.188586,-96.133641
1807,IA,1,"(42.3616501, -92.7685327)",42.3616501,-92.7685327
1787,IA,192,"(42.5006217, -90.6647967)",42.5006217,-90.6647967
1817,IA,2,"(43.307926, -96.432184)",43.307926,-96.432184
1818,IA,1260,"(41.6612561, -91.5299106)",41.6612561,-91.5299106
1819,IA,4,"(42.5210019, -93.2636705)",42.5210019,-93.2636705
1820,IA,2,"(42.6460934, -92.4629637)",42.6460934,-92.4629637
1821,IA,2,"(41.0131342, -91.9718642)",41.0131342,-91.9718642
1823,IA,454,"(41.6731523, -93.6973395)",41.6731523,-93.6973395
1816,IA,8,"(41.3605271, -93.5599632)",41.3605271,-93.5599632
1806,IA,32,"(41.7430554, -92.7224206)",41.7430554,-92.7224206
1815,IA,2,"(42.3449871, -95.4716666)",42.3449871,-95.4716666
1793,IA,1,"(42.4450016, -90.9320766)",42.4450016,-90.9320766
1789,IA,3,"(42.4844404, -91.1229136)",42.4844404,-91.1229136
1790,IA,1,"(42.360816, -93.0996464)",42.360816,-93.0996464
1791,IA,2,"(42.9574811, -91.6307065)",42.9574811,-91.6307065
1792,IA,2,"(43.1127427, -94.6830357)",43.1127427,-94.6830357
1794,IA,115,"(41.0087364, -91.9626486)",41.0087364,-91.9626486
1795,IA,1,"(42.4427782, -91.0062451)",42.4427782,-91.0062451
1805,IA,3,"(41.6883214, -93.7910575)",41.6883214,-93.7910575
1796,IA,3,"(42.8420766, -91.850265)",42.8420766,-91.850265
1798,IA,3,"(43.2624559, -93.6371591)",43.2624559,-93.6371591
1799,IA,51,"(42.4974694, -94.1680158)",42.4974694,-94.1680158
1800,IA,1,"(42.9652548, -92.1996196)",42.9652548,-92.1996196
1802,IA,1,"(41.8794766, -92.7885874)",41.8794766,-92.7885874
1803,IA,4,"(41.0469437, -95.7425055)",41.0469437,-95.7425055
1797,IA,1,"(43.0587894, -92.7830539)",43.0587894,-92.7830539
1932,ID,1,"(43.1329504, -115.6911975)",43.1329504,-115.6911975
1931,ID,139,"(46.7323875, -117.0001651)",46.7323875,-117.0001651
1930,ID,37,"(43.6086295, -116.392326)",43.6086295,-116.392326
1929,ID,1,"(44.911006, -116.0987364)",44.911006,-116.0987364
1925,ID,1,"(47.5382349, -116.1188875)",47.5382349,-116.1188875
1927,ID,1,"(42.5483197, -114.4130934)",42.5483197,-114.4130934
1933,ID,13,"(43.5737361, -116.5596313)",43.5737361,-116.5596313
1926,ID,9,"(43.680741, -114.363662)",43.680741,-114.363662
1928,ID,1,"(46.4165506, -117.0176569)",46.4165506,-117.0176569
1934,ID,15,"(43.9698864, -116.81904)",43.9698864,-116.81904
1942,ID,1,"(43.8257565, -111.782182533204)",43.8257565,-111.782182533
1936,ID,1,"(47.3351803, -116.8885094)",47.3351803,-116.8885094
1937,ID,95,"(42.8688613, -112.4401098)",42.8688613,-112.4401098
1938,ID,6,"(47.7110106, -116.9480877)",47.7110106,-116.9480877
1939,ID,8,"(43.8235163, -111.7870222)",43.8235163,-111.7870222
1940,ID,7,"(43.675202, -111.918002)",43.675202,-111.918002
1941,ID,16,"(48.2765903, -116.5532476)",48.2765903,-116.5532476
1944,ID,24,"(42.5704219, -114.4603171)",42.5704219,-114.4603171
1945,ID,1,"(43.602698, -111.111332)",43.602698,-111.111332
1935,ID,17,"(43.7851615, -116.9432088)",43.7851615,-116.9432088
1924,ID,2,"(42.702266, -114.2867043)",42.702266,-114.2867043
1943,ID,5,"(43.696215, -114.353097)",43.696215,-114.353097
1922,ID,3,"(47.7660161, -116.7865815)",47.7660161,-116.7865815
1923,ID,160,"(43.4935245, -112.0400919)",43.4935245,-112.0400919
1903,ID,1,"(42.7860227, -112.8544377)",42.7860227,-112.8544377
1904,ID,1,"(43.477269, -111.969828)",43.477269,-111.969828
1905,ID,1,"(47.9479601, -116.7079745)",47.9479601,-116.7079745
1907,ID,2363,"(43.61656, -116.200835)",43.61656,-116.200835
1908,ID,2,"(48.6912792, -116.3161408)",48.6912792,-116.3161408
1909,ID,2,"(42.5990714, -114.7594946)",42.5990714,-114.7594946
1910,ID,5,"(43.6678736, -116.6894156)",43.6678736,-116.6894156
1911,ID,1,"(47.7066144, -116.8551)",47.7066144,-116.8551
1906,ID,11,"(43.190039, -112.348357)",43.190039,-112.348357
1913,ID,1,"(46.0484923, -116.3495898)",46.0484923,-116.3495898
1914,ID,2,"(47.148062, -116.9152091)",47.148062,-116.9152091
1915,ID,1,"(42.633935, -114.509316)",42.633935,-114.509316
1917,ID,8,"(43.6954424, -116.3540138)",43.6954424,-116.3540138
1918,ID,1,"(42.6059001, -114.2096454)",42.6059001,-114.2096454
1919,ID,2,"(43.622111, -116.2381787)",43.622111,-116.2381787
1920,ID,1,"(45.926552, -116.1223654)",45.926552,-116.1223654
1912,ID,15,"(47.6776832, -116.7804664)",47.6776832,-116.7804664
1921,ID,42,"(43.519629, -114.315325)",43.519629,-114.315325
2282,IL,170,"(40.5117699, -88.9944815)",40.5117699,-88.9944815
2283,IL,3,"(41.9633641, -87.827284)",41.9633641,-87.827284
2284,IL,33,"(41.8061399, -88.3272952)",41.8061399,-88.3272952
2285,IL,521,"(42.325578, -87.8411818)",42.325578,-87.8411818
2290,IL,140,"(42.09975, -87.7808967)",42.09975,-87.7808967
2288,IL,1,"(42.118535, -87.8214879045808)",42.118535,-87.8214879046
2289,IL,1773,"(42.1299234, -87.8299476)",42.1299234,-87.8299476
2291,IL,13,"(41.9172526, -87.8956185)",41.9172526,-87.8956185
2292,IL,1,"(39.9617127, -91.4001501)",39.9617127,-91.4001501
2281,IL,129,"(42.0289319, -87.8122348)",42.0289319,-87.8122348
2287,IL,2,"(41.84686, -87.8152024)",41.84686,-87.8152024
2280,IL,1,"(42.178123, -78.1455655)",42.178123,-78.1455655
2270,IL,7614,"(41.7729107, -88.147867)",41.7729107,-88.147867
2278,IL,1,"(29.9499323, -90.0701156)",29.9499323,-90.0701156
2277,IL,10,"(41.5119761, -87.9656098)",41.5119761,-87.9656098
2276,IL,1,"(41.29587, -89.7903802)",41.29587,-89.7903802
2274,IL,5,"(38.6456062, -90.160943)",38.6456062,-90.160943
2273,IL,7,"(36.1622296, -86.7743531)",36.1622296,-86.7743531
2272,IL,1,"(41.7729107, -88.147867)",41.7729107,-88.147867
2271,IL,2,"(41.7729107, -88.147867)",41.7729107,-88.147867
2293,IL,2,"(38.5922715, -89.9112124)",38.5922715,-89.9112124
2267,IL,5,"(37.7644952, -89.3350888)",37.7644952,-89.3350888
2266,IL,280,"(42.263079, -88.0039653)",42.263079,-88.0039653
2279,IL,2,"(39.8539297, -89.1661942)",39.8539297,-89.1661942
2294,IL,2126,"(41.8328085, -87.9289504)",41.8328085,-87.9289504
2304,IL,1,"(42.195081, -83.618433)",42.195081,-83.618433
2296,IL,1,"(41.8328085, -87.9289504)",41.8328085,-87.9289504
2325,IL,3,"(41.3274302, -89.1288762)",41.3274302,-89.1288762
2324,IL,5,"(40.7472594, -89.5739845)",40.7472594,-89.5739845
2323,IL,2687,"(40.6938609, -89.5891008)",40.6938609,-89.5891008
2322,IL,6,"(40.5675388, -89.640658)",40.5675388,-89.640658
2321,IL,313,"(42.0111412, -87.8406192)",42.0111412,-87.8406192
2320,IL,5,"(42.3483554, -87.8842397)",42.3483554,-87.8842397
2319,IL,100,"(39.611146, -87.6961374)",39.611146,-87.6961374
2318,IL,5,"(39.3889311, -89.0800809)",39.3889311,-89.0800809
2317,IL,3,"(41.6672547, -87.8303316)",41.6672547,-87.8303316
2316,IL,5,"(41.6966992, -87.8169984)",41.6966992,-87.8169984
2315,IL,20,"(41.6681632, -87.7962812)",41.6681632,-87.7962812
2314,IL,1068,"(42.1105779, -88.0336888)",42.1105779,-88.0336888
2313,IL,25,"(41.3516628, -88.845436)",41.3516628,-88.845436
2312,IL,9,"(41.6789932, -88.3550216)",41.6789932,-88.3550216
2311,IL,22,"(41.6303103, -87.8539425)",41.6303103,-87.8539425
2310,IL,17,"(41.5164045, -87.7028956891084)",41.5164045,-87.7028956891
2309,IL,8,"(38.7296538, -88.0846891)",38.7296538,-88.0846891
2308,IL,1,"(38.4342164, -89.5503676)",38.4342164,-89.5503676
2307,IL,6,"(41.2953127, -89.0595266)",41.2953127,-89.0595266
2305,IL,498,"(41.8500302, -87.9645077)",41.8500302,-87.9645077
2265,IL,1,"(40.1155911, -87.844751)",40.1155911,-87.844751
2303,IL,27,"(41.8500302, -87.9645077)",41.8500302,-87.9645077
2302,IL,122,"(42.195081, -83.618433)",42.195081,-83.618433
2300,IL,140,"(41.8850317, -87.7845025)",41.8850317,-87.7845025
2299,IL,24,"(41.7108662, -87.7581081)",41.7108662,-87.7581081
2298,IL,8,"(41.6028116, -87.7439384)",41.6028116,-87.7439384
2297,IL,3,"(41.8328085, -87.9289504)",41.8328085,-87.9289504
2295,IL,34,"(28.0715441, -82.7278416)",28.0715441,-82.7278416
2264,IL,4,"(42.0664167, -87.9372908)",42.0664167,-87.9372908
2254,IL,18,"(40.6127349, -89.459323)",40.6127349,-89.459323
2262,IL,5,"(39.9872707, -90.763463)",39.9872707,-90.763463
2228,IL,1,"(40.3461017, -94.8724707)",40.3461017,-94.8724707
2227,IL,2,"(41.5936453, -87.6947699)",41.5936453,-87.6947699
2226,IL,4,"(38.2500481, -89.7500988)",38.2500481,-89.7500988
2225,IL,41,"(37.7306054, -88.9331256)",37.7306054,-88.9331256
2224,IL,16,"(42.2525476, -88.6078921)",42.2525476,-88.6078921
2223,IL,5,"(41.2506759, -87.8314299)",41.2506759,-87.8314299
2222,IL,2,"(38.811063, -89.9017112)",38.811063,-89.9017112
2221,IL,74,"(40.4588774, -90.6709794)",40.4588774,-90.6709794
2220,IL,2,"(42.3472406, -89.0389956)",42.3472406,-89.0389956
2219,IL,1,"(42.3472406, -89.0389956)",42.3472406,-89.0389956
2218,IL,1,"(41.811108, -87.8232695)",41.811108,-87.8232695
2217,IL,1,"(41.5255648, -87.54056)",41.5255648,-87.54056
2216,IL,133,"(42.3200189, -89.0581621)",42.3200189,-89.0581621
2229,IL,1,"(38.490327, -89.793154)",38.490327,-89.793154
2215,IL,40,"(42.1783584, -87.9978518)",42.1783584,-87.9978518
2213,IL,1,"(41.5894753, -88.057837)",41.5894753,-88.057837
2210,IL,2,"(42.8442536, -71.4797889)",42.8442536,-71.4797889
