,state,status,latlon,lat,lon
152,AL,3,"(33.928922, -86.1399644173833)",33.928922,-86.1399644174
154,AL,1,"(30.820742, -88.0705556)",30.820742,-88.0705556
155,AL,14,"(34.6731323, -86.0338765)",34.6731323,-86.0338765
106,AL,5,"(33.5381601, -86.7072102)",33.5381601,-86.7072102
157,AL,3,"(34.756183, -87.6996461742424)",34.756183,-87.6996461742
158,AL,42,"(32.395676, -85.9696810534137)",32.395676,-85.9696810534
159,AL,1,"(34.1195406, -86.3955398)",34.1195406,-86.3955398
160,AL,1,"(33.2116975, -86.278157631655)",33.2116975,-86.2781576317
153,AL,4,"(34.5067141, -87.7294591)",34.5067141,-87.7294591
105,AL,538,"(34.729847, -86.5859011)",34.729847,-86.5859011
172,AL,4,"(32.144316, -85.7149495)",32.144316,-85.7149495
49,AL,1990,"(33.5206824, -86.8024326)",33.5206824,-86.8024326
50,AL,1,"(34.2006503, -86.1663655)",34.2006503,-86.1663655
51,AL,6,"(31.5823832, -86.2571786)",31.5823832,-86.2571786
52,AL,2,"(34.9475808, -85.7144155)",34.9475808,-85.7144155
53,AL,1,"(34.8095424, -88.2588869)",34.8095424,-88.2588869
54,AL,1,"(31.7201615, -85.8160567)",31.7201615,-85.8160567
55,AL,1,"(38.626719, -121.208572)",38.626719,-121.208572
56,AL,1,"(33.1035045, -86.7505733)",33.1035045,-86.7505733
57,AL,126,"(31.1551748, -88.0099997)",31.1551748,-88.0099997
58,AL,1,"(34.1520406, -85.6788531)",34.1520406,-85.6788531
59,AL,1,"(32.9445682, -87.1386067)",32.9445682,-87.1386067
60,AL,2,"(31.4651653, -88.2544557)",31.4651653,-88.2544557
61,AL,1,"(34.6906467, -86.6099934)",34.6906467,-86.6099934
62,AL,1,"(34.1142554, -85.6004514)",34.1142554,-85.6004514
45,AL,7,"(33.3823635, -86.91720475)",33.3823635,-86.91720475
44,AL,8,"(30.4100125, -88.2527907679869)",30.4100125,-88.252790768
104,AL,1,"(35.410845, -80.8429094)",35.410845,-80.8429094
29,AL,2,"(33.6009389, -86.9561059)",33.6009389,-86.9561059
30,AL,2,"(33.2442813, -86.8163773)",33.2442813,-86.8163773
31,AL,20,"(34.2675937, -86.2088669)",34.2675937,-86.2088669
32,AL,40,"(32.944012, -85.9538532)",32.944012,-85.9538532
33,AL,3,"(31.3085039, -86.4832033)",31.3085039,-86.4832033
34,AL,44,"(33.695381, -85.8398422788233)",33.695381,-85.8398422788
63,AL,1,"(33.2551525, -86.3441519054219)",33.2551525,-86.3441519054
35,AL,3,"(34.3181497, -86.4958219)",34.3181497,-86.4958219
28,AL,1,"(33.9573115, -86.0678139379529)",33.9573115,-86.067813938
37,AL,1,"(34.799257, -86.5161018)",34.799257,-86.5161018
38,AL,29,"(34.8283825, -86.91713375)",34.8283825,-86.91713375
39,AL,14,"(31.0237921, -87.4938708)",31.0237921,-87.4938708
41,AL,437,"(32.6848205, -85.4882773112481)",32.6848205,-85.4882773112
42,AL,1,"(32.59197975, -85.4960858642107)",32.59197975,-85.4960858642
43,AL,1,"(30.8829628, -87.7730474)",30.8829628,-87.7730474
36,AL,5,"(31.1829562, -85.236321)",31.1829562,-85.236321
64,AL,7,"(32.8387371, -86.6294262)",32.8387371,-86.6294262
66,AL,2,"(33.1781718, -86.6072054)",33.1781718,-86.6072054
87,AL,3,"(34.4442547, -85.7196893)",34.4442547,-85.7196893
88,AL,44,"(33.9573115, -86.0678139379529)",33.9573115,-86.067813938
89,AL,1,"(31.6371028, -86.7419175)",31.6371028,-86.7419175
90,AL,51,"(31.8295972, -86.6177517)",31.8295972,-86.6177517
91,AL,6,"(30.297024, -87.6457412289458)",30.297024,-87.6457412289
92,AL,4,"(34.3581474, -86.2947041)",34.3581474,-86.2947041
93,AL,2,"(34.226488, -87.6214133)",34.226488,-87.6214133
86,AL,12,"(31.9845929, -86.5785856)",31.9845929,-86.5785856
94,AL,1,"(34.0606545, -86.767498)",34.0606545,-86.767498
97,AL,2,"(33.296224, -86.8436004)",33.296224,-86.8436004
99,AL,2,"(34.1742634, -86.616382)",34.1742634,-86.616382
100,AL,3,"(33.4717732, -86.8008228)",33.4717732,-86.8008228
101,AL,8,"(33.434977, -86.8178480824854)",33.434977,-86.8178480825
102,AL,3,"(32.2698632, -86.3571916)",32.2698632,-86.3571916
65,AL,1,"(31.2926762, -85.1115965)",31.2926762,-85.1115965
96,AL,5,"(34.8556441, -86.7508323)",34.8556441,-86.7508323
85,AL,3,"(30.4065868, -87.6835974)",30.4065868,-87.6835974
95,AL,2,"(34.4445144, -86.9350326)",34.4445144,-86.9350326
83,AL,1,"(30.507956, -87.8974292243294)",30.507956,-87.8974292243
67,AL,16,"(34.1335332, -86.8779268)",34.1335332,-86.8779268
68,AL,33,"(32.7848521, -85.3057779)",32.7848521,-85.3057779
84,AL,60,"(34.79981, -87.677251)",34.79981,-87.677251
69,AL,39,"(32.831238, -85.7635692)",32.831238,-85.7635692
70,AL,1,"(31.3101719, -85.7129908)",31.3101719,-85.7129908
72,AL,48,"(34.61881, -87.0515069373485)",34.61881,-87.0515069373
73,AL,1,"(32.5178284, -87.8368201)",32.5178284,-87.8368201
74,AL,73,"(31.2232313, -85.3904889)",31.2232313,-85.3904889
71,AL,7,"(30.6035255, -87.9036047)",30.6035255,-87.9036047
76,AL,2,"(30.7635213, -88.126946)",30.7635213,-88.126946
77,AL,7,"(31.4146108, -86.0677243)",31.4146108,-86.0677243
78,AL,3,"(34.9289743, -86.9738959)",34.9289743,-86.9738959
79,AL,1,"(33.5095505, -86.8861029)",33.5095505,-86.8861029
82,AL,2,"(33.4859402, -86.9119366)",33.4859402,-86.9119366
75,AL,3,"(33.6059367, -86.0213587)",33.6059367,-86.0213587
80,AL,47,"(31.3151708, -85.8552161)",31.3151708,-85.8552161
81,AL,18,"(31.8912717, -85.1454876)",31.8912717,-85.1454876
256,AR,128,"(34.7456275, -92.1531445816718)",34.7456275,-92.1531445817
249,AR,1,"(34.4956532, -93.6410249)",34.4956532,-93.6410249
250,AR,4,"(36.3353449, -92.3851593)",36.3353449,-92.3851593
251,AR,3,"(35.8684075, -92.1176521)",35.8684075,-92.1176521
253,AR,1,"(34.7456275, -92.1531445816718)",34.7456275,-92.1531445817
254,AR,2,"(33.9456692, -93.847129)",33.9456692,-93.847129
255,AR,6,"(35.6048018, -91.2817951)",35.6048018,-91.2817951
257,AR,10,"(35.7050778, -89.969532)",35.7050778,-89.969532
248,AR,6,"(35.1509173, -92.7440538)",35.1509173,-92.7440538
252,AR,1,"(35.5006417, -94.0515919)",35.5006417,-94.0515919
247,AR,6,"(33.6293427, -91.7912327)",33.6293427,-91.7912327
240,AR,1,"(34.3623149, -92.8129463)",34.3623149,-92.8129463
245,AR,1,"(33.6289986, -91.3995641)",33.6289986,-91.3995641
244,AR,49,"(34.8667565, -92.4043219)",34.8667565,-92.4043219
243,AR,1,"(34.5556555, -90.9128928)",34.5556555,-90.9128928
242,AR,2,"(39.5128606, -80.2258567)",39.5128606,-80.2258567
241,AR,1,"(34.7737082, -90.7576112)",34.7737082,-90.7576112
239,AR,28,"(33.2670725, -93.2393341)",33.2670725,-93.2393341
238,AR,2,"(34.6550928, -92.3865432)",34.6550928,-92.3865432
237,AR,95,"(36.2553543, -94.1307587)",36.2553543,-94.1307587
258,AR,4,"(36.0584021, -90.4973286)",36.0584021,-90.4973286
246,AR,2,"(34.5862171, -94.2396554)",34.5862171,-94.2396554
259,AR,1,"(35.2920325, -93.7299173)",35.2920325,-93.7299173
277,AR,2,"(34.8984323, -94.0907634)",34.8984323,-94.0907634
261,AR,63,"(34.2284312, -92.0031955)",34.2284312,-92.0031955
235,AR,5,"(34.7464809, -92.2895948)",34.7464809,-92.2895948
284,AR,1,"(33.5563198, -92.8545177)",33.5563198,-92.8545177
283,AR,1,"(35.5681363, -90.0420342)",35.5681363,-90.0420342
282,AR,1,"(34.9128719, -91.1101221)",34.9128719,-91.1101221
281,AR,9,"(35.1464797, -90.1845388)",35.1464797,-90.1845388
280,AR,1,"(34.5506573, -90.6417741)",34.5506573,-90.6417741
279,AR,2,"(33.6126086, -92.0645831)",33.6126086,-92.0645831
278,AR,4,"(36.0680241, -90.9561004)",36.0680241,-90.9561004
276,AR,3,"(35.44572, -94.3518224792668)",35.44572,-94.3518224793
275,AR,1,"(35.6736895, -90.5073285)",35.6736895,-90.5073285
274,AR,4,"(34.5003748, -91.5526281)",34.5003748,-91.5526281
273,AR,2,"(33.4112328, -93.0696101)",33.4112328,-93.0696101
271,AR,2,"(39.6584142, -79.9864528)",39.6584142,-79.9864528
270,AR,94,"(36.1867442, -94.1288142)",36.1867442,-94.1288142
268,AR,35,"(36.1881365, -94.5404962)",36.1881365,-94.5404962
267,AR,13,"(34.8150907, -92.2243153)",34.8150907,-92.2243153
266,AR,29,"(35.2506406, -91.7362488)",35.2506406,-91.7362488
265,AR,1,"(-31.4249815, -62.0840299)",-31.4249815,-62.0840299
264,AR,23,"(35.2784173, -93.1337856)",35.2784173,-93.1337856
263,AR,64,"(36.3320197, -94.1185366)",36.3320197,-94.1185366
262,AR,3,"(33.2378972, -91.5115095)",33.2378972,-91.5115095
260,AR,1,"(-21.360799, 55.565588)",-21.360799,55.565588
234,AR,2431,"(34.7464809, -92.2895948)",34.7464809,-92.2895948
224,AR,3,"(34.5295471, -90.5917722)",34.5295471,-90.5917722
203,AR,3,"(34.0378916, -94.3413168)",34.0378916,-94.3413168
202,AR,2,"(33.1281779, -91.9612427)",33.1281779,-91.9612427
201,AR,75,"(35.0886963, -92.4421011)",35.0886963,-92.4421011
200,AR,1,"(35.4373073, -93.6729697)",35.4373073,-93.6729697
199,AR,7,"(35.4714724, -93.4665731)",35.4714724,-93.4665731
198,AR,1,"(37.9612226, -81.1803812)",37.9612226,-81.1803812
197,AR,2,"(33.5845582, -92.8343294)",33.5845582,-92.8343294
196,AR,1,"(34.974532, -92.0165336)",34.974532,-92.0165336
195,AR,2,"(34.5959265, -92.4890469)",34.5959265,-92.4890469
194,AR,12,"(35.9272953, -89.9189754)",35.9272953,-89.9189754
