,state,year,median,q25,q75,q0,q100,count
72,GA,2013,16980.0,57356.0,49754.0,68431.75,16980.0,340242.0
73,GA,2014,20100.0,56659.0,51792.0,71074.0,20100.0,278134.0
74,GA,2015,16578.0,57949.0,53893.0,70699.0,16578.0,244691.0
75,GA,2016,16970.0,58282.0,54371.0,74110.0,16970.0,254342.0
76,GA,2017,19344.0,61922.0,54808.0,76429.5,19344.0,273333.0
77,GU,2015,20950.0,41600.0,37170.0,48880.0,20950.0,244816.0
78,GU,2016,23650.0,41600.0,37918.0,53726.0,23650.0,253490.0
79,GU,2017,23192.0,44200.0,37939.0,52146.0,23192.0,276910.0
80,HI,2011,17420.0,50004.0,38771.0,62892.0,17420.0,211349.0
81,HI,2012,21590.0,53019.0,40664.0,61277.0,21590.0,140005.0
82,HI,2013,21550.0,57504.0,44611.5,68588.0,21550.0,294600.0
83,HI,2014,18860.0,56680.0,46103.0,69343.5,18860.0,198390.0
84,HI,2015,16827.0,59592.0,48256.0,76651.0,16827.0,206906.0
85,HI,2016,25522.0,60852.0,49119.0,78777.0,25522.0,190362.0
86,HI,2017,25750.0,61277.0,50164.75,74125.75,25750.0,194168.0
87,IA,2011,19427.0,56721.5,45720.5,70564.0,19427.0,389100.0
88,IA,2012,18543.0,56430.0,48218.0,70512.0,18543.0,382800.0
89,IA,2013,16740.0,60362.0,50898.0,76523.0,16740.0,337734.0
90,IA,2014,16570.0,61963.0,50856.0,76960.0,16570.0,374300.0
91,IA,2015,19030.0,63066.0,52915.0,75783.0,19030.0,380900.0
92,IA,2016,17050.0,63810.5,53030.0,75888.5,17050.0,255882.0
93,IA,2017,17000.0,65062.0,54000.0,77210.0,17000.0,279323.0
94,ID,2011,16730.0,70179.0,62317.0,82321.25,16730.0,2710300.0
95,ID,2012,20840.0,69264.0,60050.0,84594.0,20840.0,142875.0
96,ID,2013,16150.0,72426.0,60050.0,87714.0,16150.0,163550.0
97,ID,2014,16750.0,72093.0,60070.0,86455.0,16750.0,236213.0
98,ID,2015,16750.0,75638.5,60294.25,89684.25,16750.0,236213.0
99,ID,2016,17060.0,75223.0,61677.25,86174.0,17060.0,185266.0
100,ID,2017,17390.0,72363.0,56805.0,90064.0,17390.0,163363.0
101,IL,2011,16349.0,62109.0,51230.0,77334.0,16349.0,249000.0
102,IL,2012,16407.0,63274.0,52811.0,77064.0,16407.0,250931.0
103,IL,2013,15226.0,65645.0,55536.0,78915.0,15226.0,341758.0
104,IL,2014,17490.0,67038.0,57574.0,80766.0,17490.0,377000.0
105,IL,2015,18117.0,67808.0,56930.0,82035.0,18117.0,356900.0
106,IL,2016,18130.0,70886.0,59010.0,86216.0,18130.0,263224.0
107,IL,2017,17555.0,71843.0,59779.0,85218.0,17555.0,270546.0
108,IN,2011,17118.0,54350.0,42671.5,67870.0,17118.0,231130.0
109,IN,2012,16950.0,55661.0,44034.0,71688.5,16950.0,366900.0
110,IN,2013,16994.0,58739.0,47879.75,72149.75,16994.0,366900.0
111,IN,2014,15354.0,58594.0,49920.0,71386.0,15354.0,448100.0
112,IN,2015,16906.0,59010.0,51002.0,73549.0,16906.0,244774.0
113,IN,2016,18220.0,58739.0,50856.0,72311.0,18220.0,256110.0
114,IN,2017,16744.0,62379.0,51081.75,75026.0,16744.0,272938.0
115,KS,2011,15787.0,52728.0,44016.0,66269.0,15787.0,421377.0
116,KS,2012,16765.0,54226.0,48550.0,69638.0,16765.0,250000.0
117,KS,2013,17306.0,59114.0,47549.0,72654.0,17306.0,241000.0
118,KS,2014,16661.0,57866.0,46301.0,73299.0,16661.0,250682.0
119,KS,2015,16702.0,61672.0,50180.0,78488.5,16702.0,250021.0
120,KS,2016,16765.0,64854.0,50495.0,80538.0,16765.0,250661.0
121,KS,2017,17930.0,66872.0,53581.0,81546.0,17930.0,282547.0
122,KY,2011,15070.0,52562.0,43400.0,66913.75,15070.0,432740.0
123,KY,2012,18050.0,53903.5,44096.0,66861.5,18050.0,279205.0
124,KY,2013,17790.0,56014.0,45713.75,69867.0,17790.0,400000.0
125,KY,2014,17030.0,56160.0,46488.0,68869.0,17030.0,523713.0
126,KY,2015,17060.0,60091.0,49046.0,76817.0,17060.0,304831.0
127,KY,2016,18080.0,66861.5,53560.0,80127.0,18080.0,350000.0
128,KY,2017,17640.0,69493.0,55702.0,83788.0,17640.0,325000.0
129,LA,2011,16640.0,46696.0,37939.0,59363.0,16640.0,206086.0
130,LA,2012,19510.0,51376.0,40948.5,63981.0,19510.0,307816.0
131,LA,2013,24274.0,50014.0,41618.25,63185.5,24274.0,298807.0
132,LA,2014,17250.0,57907.0,44741.0,68078.0,17250.0,346900.0
133,LA,2015,20130.0,59280.0,44361.5,71365.0,20130.0,220750.0
134,LA,2016,17610.0,59467.5,44209.5,74074.25,17610.0,272750.0
135,LA,2017,16990.0,61318.0,43534.0,76898.0,16990.0,269000.0
136,MA,2011,17347.0,64875.0,52582.0,78728.0,17347.0,265655.0
137,MA,2012,15912.0,67122.0,56039.0,81286.0,15912.0,247354.0
138,MA,2013,18110.0,69846.0,56472.0,85446.0,18110.0,332100.0
139,MA,2014,18096.0,71864.0,58157.0,88296.0,18096.0,332100.0
140,MA,2015,16786.0,72155.0,59842.0,88691.0,16786.0,252637.0
141,MA,2016,18070.0,74048.0,60767.5,88462.0,18070.0,267800.0
142,MA,2017,19594.0,74818.0,63461.0,89783.5,19594.0,283421.0
143,MD,2011,15110.0,58490.0,50741.0,63586.0,15110.0,472200.0
144,MD,2012,18720.0,59363.0,53186.0,63981.0,18720.0,203403.0
145,MD,2013,15348.0,60798.0,56722.0,64106.0,15348.0,234499.0
146,MD,2014,18554.0,61381.0,56014.0,65666.0,18554.0,245606.0
147,MD,2015,17430.0,62358.0,56347.0,67808.0,17430.0,246043.0
148,MD,2016,15222.0,63690.0,57179.0,70179.0,15222.0,247978.0
149,MD,2017,17992.0,65146.0,57907.0,73070.0,17992.0,246293.0
150,ME,2011,21341.0,60568.5,47174.0,103771.0,21341.0,400000.0
151,ME,2012,19386.0,60122.5,42286.0,89690.0,19386.0,416082.0
152,ME,2013,19700.0,62100.0,46322.0,97011.0,19700.0,305102.0
153,ME,2014,22394.0,63336.0,49338.0,136739.0,22394.0,258650.0
154,ME,2015,17160.0,61090.0,55370.0,90792.0,17160.0,436363.0
155,ME,2016,26915.0,64948.0,52104.0,99466.0,26915.0,258627.0
156,ME,2017,24873.0,64397.0,50794.0,95358.0,24873.0,257712.0
157,MI,2011,16020.0,58906.0,50586.0,68328.0,16020.0,234494.0
158,MI,2012,16370.0,59634.0,52666.0,70699.0,16370.0,225390.0
159,MI,2013,16960.0,60029.0,54184.0,70283.0,16960.0,401472.0
160,MI,2014,16994.0,61277.0,55245.0,71074.0,16994.0,259600.0
161,MI,2015,17534.0,62712.0,54480.0,72332.0,17534.0,249434.0
162,MI,2016,20842.0,65354.0,58053.0,74443.0,20842.0,266552.0
163,MI,2017,18190.0,64813.0,57533.0,76898.0,18190.0,300810.0
164,MN,2011,19864.0,63419.0,47757.0,80766.0,19864.0,318348.0
165,MN,2012,22526.0,62525.0,48353.0,78187.0,22526.0,9062600.0
166,MN,2013,17680.0,64716.5,49402.0,81141.0,17680.0,297817.0
167,MN,2014,20000.0,68598.0,53373.0,84800.0,20000.0,349900.0
168,MN,2015,23030.0,71261.0,57147.75,88967.0,23030.0,326105.0
169,MN,2016,16930.0,71843.0,57533.0,91624.0,16930.0,330780.0
170,MN,2017,19480.0,74113.5,61069.0,92893.0,19480.0,350796.0
171,MO,2011,22152.0,58219.0,45718.0,75109.0,22152.0,230693.0
172,MO,2012,16790.0,58198.0,46675.0,75608.0,16790.0,300000.0
173,MO,2013,21029.0,59114.0,48693.0,76939.0,21029.0,249288.0
174,MO,2014,18110.0,61838.0,50570.25,78573.0,18110.0,243901.0
175,MO,2015,17370.0,65021.0,54995.0,81432.0,17370.0,233459.0
176,MO,2016,19552.0,65312.0,54725.0,82597.0,19552.0,257483.0
177,MO,2017,17181.0,66997.0,58687.5,85082.5,17181.0,284211.0
178,MP,2015,18000.0,38220.0,24752.0,42474.0,18000.0,93600.0
179,MP,2016,22401.6,37024.0,32884.0,75004.8,22401.6,214790.0
180,MP,2017,19760.0,65509.4,33134.0,90965.0,19760.0,207400.0
181,MS,2011,17763.0,44928.0,34569.5,53799.0,17763.0,191300.0
182,MS,2012,17181.0,44040.0,37055.2,59592.0,17181.0,340426.0
183,MS,2013,17777.0,46238.5,36067.0,67475.0,17777.0,310215.0
184,MS,2014,16560.0,44830.5,36263.25,64609.25,16560.0,324694.0
185,MS,2015,17264.0,53102.0,40706.0,82293.75,17264.0,325119.0
186,MS,2016,21830.0,54654.0,41267.0,83710.0,21830.0,244739.0
187,MS,2017,24523.0,61261.5,43614.25,103303.0,24523.0,279531.0
188,MT,2011,23150.0,50461.0,37500.0,58864.0,23150.0,93413.0
189,MT,2012,16973.0,47122.0,35316.25,68567.0,16973.0,127224.4
