,state,year,median,q25,q75,q0,q100,count
360,WV,2011,18450.0,50648.0,41275.0,77709.0,18450.0,200408.0
361,WV,2012,16590.0,55380.0,37958.75,106610.0,16590.0,245710.0
362,WV,2013,16590.0,50590.0,36451.75,90552.0,16590.0,246875.0
363,WV,2014,16880.0,61628.0,43413.5,106496.0,16880.0,213803.0
364,WV,2015,18940.0,56139.0,39541.0,111935.5,18940.0,249330.0
365,WV,2016,19030.0,56534.5,41579.0,107765.0,19030.0,248456.0
366,WV,2017,18242.0,66373.0,46560.0,129875.0,18242.0,414007.0
367,WY,2011,22547.0,46070.0,37455.5,59857.25,22547.0,196352.0
368,WY,2012,22880.0,52340.0,39749.0,68931.0,22880.0,475780.0
369,WY,2013,24274.0,52634.5,38032.5,66393.5,24274.0,246334.0
370,WY,2014,28142.0,54912.0,42460.0,97365.0,28142.0,208083.0
371,WY,2015,35402.0,60466.0,51538.5,85810.5,35402.0,355634.0
372,WY,2016,26640.0,51354.0,41537.5,76310.25,26640.0,224120.0
373,WY,2017,26042.0,52166.0,40955.0,65143.0,26042.0,260541.0
